재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	ifrs-full_Revenue	매출액	8,011,706,833,000	8,011,706,833,000	7,840,010,949,000	7,840,010,949,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	ifrs-full_CostOfSales	매출원가	5,713,483,671,000	5,713,483,671,000	5,769,419,176,000	5,769,419,176,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	2,298,223,162,000	2,298,223,162,000	2,070,591,773,000	2,070,591,773,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,850,728,953,000	1,850,728,953,000	1,806,327,493,000	1,806,327,493,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	447,494,209,000	447,494,209,000	264,264,280,000	264,264,280,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	140,110,020,000	140,110,020,000	199,159,920,000	199,159,920,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	304,945,246,000	304,945,246,000	402,557,296,000	402,557,296,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	entity00148540_udf_IS_202081110523392_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익	19,487,919,000	19,487,919,000	13,080,447,000	13,080,447,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	dart_OtherGains	기타영업외수익	118,536,405,000	118,536,405,000	594,602,505,000	594,602,505,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-03-31	1분기보고서	KRW	dart_OtherLosses	기타영업외비용	150,596,864,000	150,596,864,000	143,803,329,000	143,803,329,000		
